instance	owner	highlight_group	x_min_dbu	y_min_dbu	x_max_dbu	y_max_dbu
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[15\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	700000	2300000	1143280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[1\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	1220000	2300000	1663280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[1\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	1740000	2300000	2183280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[2\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2260000	2300000	2703280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[2\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2780000	2300000	3223280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[3\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	3300000	2300000	3743280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[3\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	3820000	2300000	4263280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[4\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	4340000	2300000	4783280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[4\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	4860000	2300000	5303280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[5\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	5380000	2300000	5823280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[5\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5900000	2300000	6343280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[6\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	6420000	2300000	6863280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[6\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	6940000	2300000	7383280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[7\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	7460000	2300000	7903280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[7\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	7980000	2300000	8423280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[8\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	8500000	2300000	8943280	2748720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[8\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	180000	2830000	623280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[9\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	700000	2830000	1143280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[9\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	1220000	2830000	1663280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	1740000	2830000	2183280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2260000	2830000	2703280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	2780000	2830000	3223280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	3300000	2830000	3743280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	3820000	2830000	4263280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	4340000	2830000	4783280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	4860000	2830000	5303280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5380000	2830000	5823280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	5900000	2830000	6343280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	6420000	2830000	6863280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	6940000	2830000	7383280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	7460000	2830000	7903280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	7980000	2830000	8423280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	8500000	2830000	8943280	3278720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	180000	3360000	623280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	700000	3360000	1143280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	1220000	3360000	1663280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	1740000	3360000	2183280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2260000	3360000	2703280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2780000	3360000	3223280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	3300000	3360000	3743280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	3820000	3360000	4263280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	4340000	3360000	4783280	3808720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	4860000	3360000	5303280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	sfpu	1	5380000	3360000	5823280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	sfpu	1	5900000	3360000	6343280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	sfpu	1	6420000	3360000	6863280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	sfpu	1	6940000	3360000	7383280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	sfpu	1	7460000	3360000	7903280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.b_mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	sfpu	1	7980000	3360000	8423280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	sfpu	1	8500000	3360000	8943280	3808720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	sfpu	1	180000	3890000	623280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	sfpu	1	700000	3890000	1143280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	sfpu	1	1220000	3890000	1663280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	sfpu	1	1740000	3890000	2183280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.g_mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	sfpu	1	2260000	3890000	2703280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	sfpu	1	2780000	3890000	3223280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	sfpu	1	3300000	3890000	3743280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	sfpu	1	3820000	3890000	4263280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	sfpu	1	4340000	3890000	4783280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	sfpu	1	4860000	3890000	5303280	4338720
u_core.impl.g_autonomous.u_accelerators.u_sfpu.x_mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	sfpu	1	5380000	3890000	5823280	4338720
