instance	owner	highlight_group	x_min_dbu	y_min_dbu	x_max_dbu	y_max_dbu
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[0\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	180000	180000	623280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[0\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	700000	180000	1143280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[10\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	1220000	180000	1663280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[10\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	1740000	180000	2183280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[11\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2260000	180000	2703280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[11\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2780000	180000	3223280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[12\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	3300000	180000	3743280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[12\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	3820000	180000	4263280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[13\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	4340000	180000	4783280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[13\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	4860000	180000	5303280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[14\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	5380000	180000	5823280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[14\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5900000	180000	6343280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[15\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	6420000	180000	6863280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[15\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	6940000	180000	7383280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[1\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	7460000	180000	7903280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[1\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	7980000	180000	8423280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[2\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	8500000	180000	8943280	628720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[2\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	180000	710000	623280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[3\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	700000	710000	1143280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[3\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	1220000	710000	1663280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[4\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	1740000	710000	2183280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[4\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2260000	710000	2703280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[5\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2780000	710000	3223280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[5\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	3300000	710000	3743280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[6\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	3820000	710000	4263280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[6\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	4340000	710000	4783280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[7\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	4860000	710000	5303280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[7\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5380000	710000	5823280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[8\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	5900000	710000	6343280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[8\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	6420000	710000	6863280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[9\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	6940000	710000	7383280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_a_row\[9\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	7460000	710000	7903280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	7980000	710000	8423280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	8500000	710000	8943280	1158720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	180000	1240000	623280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	700000	1240000	1143280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	1220000	1240000	1663280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[0\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	1740000	1240000	2183280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2260000	1240000	2703280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	2780000	1240000	3223280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	3300000	1240000	3743280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	3820000	1240000	4263280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	4340000	1240000	4783280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[1\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	4860000	1240000	5303280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	5380000	1240000	5823280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5900000	1240000	6343280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	6420000	1240000	6863280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	6940000	1240000	7383280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	7460000	1240000	7903280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[2\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	7980000	1240000	8423280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	8500000	1240000	8943280	1688720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	180000	1770000	623280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[2\].g_slice\[0\].u_sram	gemm	0	700000	1770000	1143280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[3\].g_slice\[0\].u_sram	gemm	0	1220000	1770000	1663280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[4\].g_slice\[0\].u_sram	gemm	0	1740000	1770000	2183280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[0\].u_slot.g_b_group\[3\].mem.impl.g_read\[0\].g_bank\[5\].g_slice\[0\].u_sram	gemm	0	2260000	1770000	2703280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[0\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	2780000	1770000	3223280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[0\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	3300000	1770000	3743280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[10\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	3820000	1770000	4263280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[10\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	4340000	1770000	4783280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[11\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	4860000	1770000	5303280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[11\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	5380000	1770000	5823280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[12\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	5900000	1770000	6343280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[12\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	6420000	1770000	6863280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[13\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	6940000	1770000	7383280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[13\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	7460000	1770000	7903280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[14\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	7980000	1770000	8423280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[14\].mem.impl.g_read\[0\].g_bank\[1\].g_slice\[0\].u_sram	gemm	0	8500000	1770000	8943280	2218720
u_core.impl.g_autonomous.u_accelerators.u_gemm.g_slot\[1\].u_slot.g_a_row\[15\].mem.impl.g_read\[0\].g_bank\[0\].g_slice\[0\].u_sram	gemm	0	180000	2300000	623280	2748720
