id,kind,status,role,reason,case_elapsed_seconds,bound_exceeded,prompt_tokens,new_tokens,past,profiled,model_first_token_seconds,prefill_seconds,prefill_tokens_per_second,continuation_tokens,continuation_seconds,continuation_tokens_per_second,workspace_bytes,input_bytes,output_bytes,jobs,traffic_scope,model_seconds,model_cycles,delivered_seconds,host_minus_model_seconds,model_tokens_per_second,delivered_tokens_per_second
story_g2_r1,full,PASS,original_anchor,,74.62860818905756,False,13,2,,False,64.27060191208791,64.19808389010988,0.2024982555905026,1,8.892870153846154,0.11244963467362687,2302532,368208024,22779400,35686,packet byte counters modulo 2^32; not total DDR traffic,73.16347561538461,6657876281,74.22159438207746,1.0581187666928429,0.027336044155609328,0.026946335721439944
science_g1_r1,full,PASS,original_anchor,,41.571153949946165,False,8,1,,False,40.37491806593407,40.30238657142857,0.19849941109123825,0,0,,2187332,192033228,12931268,19200,packet byte counters modulo 2^32; not total DDR traffic,40.37492246153846,3674117944,41.42988930083811,1.0549668392996523,0.024767849423181176,0.024137163214186293
computing_g1_r1,full,PASS,original_anchor,,41.59680227609351,False,8,1,,False,40.399335395604396,40.328342472527474,0.19837165401602533,0,0,,2187332,192033228,12931268,19200,packet byte counters modulo 2^32; not total DDR traffic,40.39933972527473,3676339915,41.454673684202135,1.055333958927406,0.024752879794576882,0.02412273239967844
cached_p13_plain_r1,cached,PASS,injected_valid_cache,,13.443841483909637,False,,1,13,False,,,,,,,2026052,134861772,1981892,9701,"packet word counters modulo 2^32, multiplied by 4; not total DDR traffic",8.897048307692307,809631396,9.953339073807001,1.056290766114694,0.1123968270617806,0.10046879671080222
cached_p13_plain_r2,cached,PASS,injected_valid_cache,,11.759177303873003,False,,1,13,False,,,,,,,2026052,134861772,1981892,9701,"packet word counters modulo 2^32, multiplied by 4; not total DDR traffic",8.896981076923076,809625278,9.955056087113917,1.0580750101908407,0.11239767639764825,0.10045146820362227
cached_p13_plain_r3,cached,PASS,injected_valid_cache,,11.78972486173734,False,,1,13,False,,,,,,,2026052,134861772,1981892,9701,"packet word counters modulo 2^32, multiplied by 4; not total DDR traffic",8.900629362637362,809957272,10.019182230345905,1.1185528677085426,0.11235160562889546,0.0998085449500279
story_length_1_g1_r1,full,PASS,synthetic_prefill_length,,9.938141838181764,False,1,1,,False,8.557182494505495,8.484665582417582,0.11785968348266526,0,0,,2026052,134705100,1966916,9701,packet byte counters modulo 2^32; not total DDR traffic,8.557186912087912,778704009,9.612499672919512,1.0553127608315993,0.11686083408875836,0.1040312129026351
story_length_16_g1_r1,full,PASS,synthetic_prefill_length,,80.8768947427161,False,16,1,,False,79.67211686813187,79.59960054945054,0.2010060338187268,0,0,,2371652,258277836,25531076,30056,packet byte counters modulo 2^32; not total DDR traffic,79.67212120879121,7250163030,80.72361014643684,1.0514889376456296,0.012551441894955568,0.012387949426270056
story_length_32_g1_r1,full,PASS,synthetic_prefill_length,,174.07728742389008,False,32,1,,False,172.84272452747254,172.77020702197802,0.18521711903678678,0,0,,2371652,522159000,51504520,62416,packet byte counters modulo 2^32; not total DDR traffic,172.84272886813187,15728688327,173.9044179469347,1.0616890788028286,0.00578560640964502,0.005750285195774271
story_length_64_g1_r1,full,PASS,synthetic_prefill_length,,399.28502712678164,False,64,1,,False,398.01911243956044,397.94659397802195,0.1608256006421169,0,0,,2371652,1066731312,104778512,134048,packet byte counters modulo 2^32; not total DDR traffic,398.01911675824175,36219739625,399.0751471063122,1.0560303480704647,0.0025124421363092557,0.0025057937264472236
story_g1_r1,full,PASS,output_length,,65.36850895686075,False,13,1,,False,64.16225554945055,64.08973884615385,0.2028405831268285,0,0,,2302532,233346252,20797508,25985,packet byte counters modulo 2^32; not total DDR traffic,64.16225987912088,5838765649,65.21508554928005,1.0528256701591658,0.015585485952083979,0.015333875461136149
story_g4_r1,full,PASS,output_length,,92.15642812196165,False,13,4,,False,64.16522874725274,64.09271019780219,0.20283117939434217,3,26.782124560439563,0.11201501184978292,2302532,637966128,26746640,55088,packet byte counters modulo 2^32; not total DDR traffic,90.94735685714285,8276209474,91.99850519979373,1.051148342650876,0.04398148707370429,0.04347896730836197
story_g16_r1,full,PASS,uninterrupted_generation,,204.53671539761126,False,13,16,,False,64.16212142857142,64.08960308791208,0.20284101279528638,15,139.14937764835165,0.10779782312722179,2302532,2259417792,50757440,173228,packet byte counters modulo 2^32; not total DDR traffic,203.31150263736265,18501346740,204.36460664402694,1.0531040066642845,0.07869697381824216,0.07829144323346383
story_g16_r2,full,PASS,uninterrupted_generation,,204.5381558840163,False,13,16,,False,64.16213007692308,64.08961079120878,0.20284098841466547,15,139.14908978021978,0.10779804613664291,2302532,2259417792,50757440,173228,packet byte counters modulo 2^32; not total DDR traffic,203.31122341758243,18501321331,204.36448264634237,1.0532592287599414,0.07869708189762589,0.07829149073661877
science_g16_r1,full,PASS,uninterrupted_generation,,177.05976516520604,False,8,16,,False,40.37488646153846,40.30235218681319,0.1984995804442793,15,135.46042675824177,0.11073344709573905,2187332,2216415936,42758720,165723,packet byte counters modulo 2^32; not total DDR traffic,175.83531676923076,16001013826,176.88971479283646,1.0543980236056996,0.09099423422996798,0.09045183898192341
cached_p1_plain_r1,cached,PASS,injected_valid_cache,,13.030451377853751,False,,1,1,False,,,,,,,2026052,134716620,1968068,9701,"packet word counters modulo 2^32, multiplied by 4; not total DDR traffic",8.426737285714285,766833093,9.480552232358605,1.0538149466443194,0.11866989157182867,0.10547908766188153
