id,generated_token_ordinal,past_before_forward,model_interval_seconds,model_interval_tokens_per_second
story_g2_r1,2,13,8.892870153846154,0.11244963467362687
story_g4_r1,2,13,8.892859615384616,0.11244976793179143
story_g4_r1,3,14,8.919973307692308,0.11210795879149449
story_g4_r1,4,15,8.969291637362637,0.11149152468567111
story_g16_r1,2,13,8.892831439560439,0.11245012421481686
story_g16_r1,3,14,8.919879021978023,0.11210914380520887
story_g16_r1,4,15,8.969181868131868,0.111492889173434
story_g16_r1,5,16,9.149889472527473,0.10929093766678802
story_g16_r1,6,17,9.187520296703296,0.10884329696216553
story_g16_r1,7,18,9.226439747252748,0.10838416847601033
story_g16_r1,8,19,9.26527210989011,0.10792991162478231
story_g16_r1,9,20,9.304037626373626,0.10748021882084365
story_g16_r1,10,21,9.34306632967033,0.107031242711437
story_g16_r1,11,22,9.382499406593407,0.10658140828628941
story_g16_r1,12,23,9.422383681318681,0.10613025682478343
story_g16_r1,13,24,9.463001098901099,0.1056747208997076
story_g16_r1,14,25,9.500631351648352,0.10525616277348777
story_g16_r1,15,26,9.540988384615385,0.10481094407498452
story_g16_r1,16,27,9.581755813186813,0.10436500569381639
story_g16_r2,2,13,8.892784945054945,0.1124507121423278
story_g16_r2,3,14,8.919860725274726,0.11210937376706638
story_g16_r2,4,15,8.969267,0.11149183093780127
story_g16_r2,5,16,9.149793780219781,0.10929208067637779
story_g16_r2,6,17,9.187480934065935,0.10884376328794713
story_g16_r2,7,18,9.226429846153847,0.10838428478561105
story_g16_r2,8,19,9.265295428571429,0.1079296399892761
story_g16_r2,9,20,9.304102307692308,0.10747947162761042
story_g16_r2,10,21,9.342961483516483,0.10703244380962837
story_g16_r2,11,22,9.382516285714285,0.10658121654663034
story_g16_r2,12,23,9.422372384615384,0.10613038406683811
story_g16_r2,13,24,9.462963142857143,0.10567514476211634
story_g16_r2,14,25,9.50057289010989,0.1052568104646617
story_g16_r2,15,26,9.540949703296704,0.10481136900391247
story_g16_r2,16,27,9.581738923076923,0.10436518966213665
science_g16_r1,2,8,8.682453384615384,0.11517481933987926
science_g16_r1,3,9,8.73268454945055,0.11451232371183255
science_g16_r1,4,10,8.777779087912087,0.11392403362908778
science_g16_r1,5,11,8.803230593406594,0.11359466157219325
science_g16_r1,6,12,8.853354725274725,0.11295153430881753
science_g16_r1,7,13,8.884505956043956,0.11255549885919312
science_g16_r1,8,14,8.919289725274725,0.11211655084667617
science_g16_r1,9,15,8.959882857142857,0.11160860202572802
science_g16_r1,10,16,9.145477802197803,0.10934365832255195
science_g16_r1,11,17,9.185734263736263,0.10886445996460317
science_g16_r1,12,18,9.224225153846154,0.10841018983399789
science_g16_r1,13,19,9.26497701098901,0.10793334930177585
science_g16_r1,14,20,9.302632527472527,0.10749645297143585
science_g16_r1,15,21,9.341809043956044,0.10704564772140994
science_g16_r1,16,22,9.382390076923077,0.10658265024171182
computing_g16_r1,2,8,8.682483010989012,0.11517442634029308
computing_g16_r1,3,9,8.72402279120879,0.11462601874535465
computing_g16_r1,4,10,8.763400175824176,0.11411095920950028
computing_g16_r1,5,11,8.802153208791209,0.11360856557248326
computing_g16_r1,6,12,8.838758164835165,0.11313806547830231
computing_g16_r1,7,13,8.879851131868131,0.11261450053044092
computing_g16_r1,8,14,8.920235835164835,0.11210465939228402
computing_g16_r1,9,15,8.949566285714285,0.11173725832907083
computing_g16_r1,10,16,9.144126373626374,0.10935981843866625
computing_g16_r1,11,17,9.185287725274724,0.10886975235934603
computing_g16_r1,12,18,9.224409505494506,0.10840802323491291
computing_g16_r1,13,19,9.263593472527473,0.1079494693895673
computing_g16_r1,14,20,9.303576208791208,0.10748554937993329
computing_g16_r1,15,21,9.3416820989011,0.10704710237545272
computing_g16_r1,16,22,9.382196186813188,0.10658485285199157
