corner	pin	direction	rise_min_ns	rise_max_ns	fall_min_ns	fall_max_ns	load_min_pf	load_max_pf
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[0]	output	0.12909308344521975	0.12906657687050682	0.0678654216157426	0.06786907841282996	0.010101422702587983	0.01098842205242553
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[1]	output	0.12953686734373804	0.1295101803577836	0.06806993163577246	0.06807347741055736	0.010205362962578506	0.011092362312416053
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[2]	output	0.12904208257502603	0.12901622825634007	0.06784182243757542	0.06784549311245058	0.010089442268582018	0.010976441618419566
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[3]	output	0.1302130903102494	0.130186764146778	0.06838210553361534	0.06838549171384045	0.010364090160630383	0.01125108951046793
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[4]	output	0.129850047381197	0.12982259711691313	0.06821450349026037	0.06821797987610623	0.010278841376686922	0.011165840726524469
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[5]	output	0.12850076558379442	0.12847513330971339	0.06759301451886301	0.06759623416563443	0.009962627036817946	0.010849626386655493
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[6]	output	0.1303075564118572	0.1302805363589954	0.06842546668162086	0.06842883204516426	0.010386181626927723	0.01127318097676527
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[7]	output	0.12844091068497931	0.12841468166602255	0.06756487730408267	0.06756869369572982	0.00994861118263973	0.010835610532477277
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[8]	output	0.13067130710808783	0.1306447727777993	0.06859302709161241	0.06859629531064115	0.010471432104937079	0.011358431454774626
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[9]	output	0.12867185095188916	0.12864552478841773	0.06767145871444669	0.0676752126560487	0.010002764540056538	0.010889763889894086
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[10]	output	0.13010459376516792	0.1300782953572721	0.06833186794175106	0.06833528187755178	0.010338584304522662	0.01122558365436021
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[11]	output	0.12955420070071	0.12952749983696776	0.06807771013583874	0.06808124897172974	0.010209358416990704	0.011096357766828251
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[12]	output	0.12956793971063973	0.12954187722513666	0.06808472535757559	0.06808827113236049	0.010212850733832234	0.01109985008366978
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[13]	output	0.12940230831315347	0.12937569071613808	0.06800850854693508	0.06801208901618949	0.01017406509517746	0.011061064445015006
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[14]	output	0.12974646357299946	0.12972031782076954	0.0681669651281247	0.06817046926954617	0.010254681455932387	0.011141681652802882
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[15]	output	0.12915998826024122	0.12913345392995268	0.06789641071591745	0.067900053635217	0.010117088576947451	0.011004087926784999
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[16]	output	0.1295305668280733	0.12950389371990667	0.06806753771737561	0.06807109043105442	0.010204100883487097	0.011091100233324644
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[17]	output	0.1288886081196594	0.12886280931212468	0.06777154532011664	0.06777525068946133	0.010053614468979056	0.010940613818816603
min_ff_n40C_1v95	u_memory.g_read[0].g_bank[0].g_slice[0].u_sram/dout[18]	output	0.13008639998535187	0.13006012933303168	0.06832338861340048	0.0683267956103073	0.010334289000447135	0.011221288350284683
